file,function_or_method,disclose_calls
doradb-storage/src/conf/engine.rs,EngineConfig::validate,1
doradb-storage/src/engine.rs,Engine::new_session,1
doradb-storage/src/engine.rs,Engine::try_shutdown,1
doradb-storage/src/engine.rs,bootstrap_engine,28
doradb-storage/src/error.rs,LifecycleOrFatalError::disclose,2
doradb-storage/src/error.rs,OperationOrFatalError::disclose,2
doradb-storage/src/error.rs,OperationOrRuntimeError::disclose,2
doradb-storage/src/error.rs,QuadError::disclose,4
doradb-storage/src/error.rs,RuntimeOrFatalError::disclose,2
doradb-storage/src/error.rs,SharedFatalError::disclose,1
doradb-storage/src/log/mod.rs,LogSync::from_str,1
doradb-storage/src/session.rs,Session::begin_trx,5
doradb-storage/src/session.rs,Session::buffer_pool_stats,1
doradb-storage/src/session.rs,Session::checkpoint_catalog,4
doradb-storage/src/session.rs,Session::checkpoint_catalog_and_truncate_redo_log,4
doradb-storage/src/session.rs,Session::checkpoint_table,6
doradb-storage/src/session.rs,Session::cleanup_secondary_mem_indexes,6
doradb-storage/src/session.rs,Session::close,4
doradb-storage/src/session.rs,Session::create_index,11
doradb-storage/src/session.rs,Session::create_table,5
doradb-storage/src/session.rs,Session::drop_index,10
doradb-storage/src/session.rs,Session::drop_table,5
doradb-storage/src/session.rs,Session::freeze_table,6
doradb-storage/src/session.rs,Session::list_table_ids,1
doradb-storage/src/session.rs,Session::lock_table,2
doradb-storage/src/session.rs,Session::logical_lock_stats,1
doradb-storage/src/session.rs,Session::mandatory_runtime_stats,1
doradb-storage/src/session.rs,Session::storage_io_stats,1
doradb-storage/src/session.rs,Session::total_row_pages,3
doradb-storage/src/session.rs,Session::transaction_system_stats,1
doradb-storage/src/session.rs,Session::truncate_redo_log,4
doradb-storage/src/session.rs,Session::unlock_table,2
doradb-storage/src/session.rs,Session::wait_for_checkpoint_retry,2
doradb-storage/src/session.rs,Session::wait_for_gc_horizon_after,2
doradb-storage/src/session.rs,Session::wait_for_purge_completion_after,2
doradb-storage/src/table/access.rs,LazyRow::val,2
doradb-storage/src/table/access.rs,UserTableAccessor::mutate_cold_rows_mvcc,12
doradb-storage/src/table/access.rs,UserTableAccessor::mutate_hot_rows_mvcc,7
doradb-storage/src/table/access.rs,UserTableAccessor::table_index_mutate_mvcc,3
doradb-storage/src/table/access.rs,UserTableAccessor::table_mutate_mvcc,1
doradb-storage/src/table/index_mutate.rs,IndexMutator::apply_deferred_index_update,5
doradb-storage/src/table/index_mutate.rs,IndexMutator::mutate_cold_index_candidate,12
doradb-storage/src/table/index_mutate.rs,IndexMutator::mutate_hot_index_candidate,5
doradb-storage/src/table/index_mutate.rs,IndexMutator::mutate_index_candidate,1
doradb-storage/src/table/index_mutate.rs,IndexMutator::mutate_owned_hot_index_candidate,2
doradb-storage/src/table/index_mutate.rs,IndexMutator::unique_driver_key_changed,1
doradb-storage/src/table/index_mutate.rs,IndexMutator::update_owned_hot_row,5
doradb-storage/src/trx/interface.rs,Transaction::table_index_scan_mvcc_stream,1
doradb-storage/src/trx/interface.rs,Transaction::table_scan_mvcc_stream,1
doradb-storage/src/trx/mod.rs,Transaction::commit,2
doradb-storage/src/trx/mod.rs,Transaction::exec,2
doradb-storage/src/trx/mod.rs,Transaction::lock_table,2
doradb-storage/src/trx/mod.rs,Transaction::rollback,2
doradb-storage/src/trx/stmt.rs,Statement::table_delete_unique_mvcc,4
doradb-storage/src/trx/stmt.rs,Statement::table_index_lookup_mvcc,2
doradb-storage/src/trx/stmt.rs,Statement::table_index_mutate_mvcc,3
doradb-storage/src/trx/stmt.rs,Statement::table_index_scan_mvcc,3
doradb-storage/src/trx/stmt.rs,Statement::table_insert_batch_mvcc,4
doradb-storage/src/trx/stmt.rs,Statement::table_insert_mvcc,4
doradb-storage/src/trx/stmt.rs,Statement::table_lookup_unique_mvcc,2
doradb-storage/src/trx/stmt.rs,Statement::table_mutate_mvcc,2
doradb-storage/src/trx/stmt.rs,Statement::table_update_unique_mvcc,5
doradb-storage/src/trx/stmt.rs,Statement::table_upsert_unique_mvcc,5
doradb-storage/src/trx/stream_stmt.rs,IndexScanMvccStream::next,2
doradb-storage/src/trx/stream_stmt.rs,StreamStmtState::table_index_scan_mvcc_stream,4
doradb-storage/src/trx/stream_stmt.rs,StreamStmtState::table_scan_mvcc_stream,3
doradb-storage/src/trx/stream_stmt.rs,TableScanMvccStreamState::load_pending_front,2
doradb-storage/src/value.rs,ValKind::try_from,1
